Source,Tweet Source,Company,Review Date,User Location,Review
Web,Not Applicable,Bajaj Allianz Car Insurance ,20-Oct-16,Kalyan,I have purchased new car and for that i have to buy car insurance also and a very nice and beneficial one. The bajaj allianz general insurance is my insurer and it gave me the best plan in low premiums. The tow service is absolutely free at any location. Even the number of garages are high and they assist the customer 24X7.
Web,Not Applicable,Bajaj Allianz Car Insurance ,5-Oct-16,Kotagiri,"My car insurance is good among all. It give me the full car insurance, Claims are easy to sanctioned, Coverage is high ~89% and the tow car service is for free at any area. Service given by the executives is fabulous which is provided 24X7."
Web,Not Applicable,Bajaj Allianz Car Insurance ,28-Sep-16,Haridwar,"Perfect car insurance for my car which provides maximum coverage and reimbursed the whole amount of any incident or accident. Claims are easy to get, large number of garages for quick services. Tow car service is absolutely free of cost."
Web,Not Applicable,Bajaj Allianz Car Insurance ,26-Aug-16,Dahiwadi,Good car insurance which has more facilities than others. Policy coverage is good and claims are high. Car tow service is available at any location for free. The large number of garages are there which facilitate services 24X7. The accidental benefits are there for driver/owner of the insurance policy.
Web,Not Applicable,Bajaj Allianz Car Insurance ,27-Feb-16,Khammam,i lost my policy paper 2015 can you send me that paper.
Web,Not Applicable,Bajaj Allianz Car Insurance ,15-Feb-16,Delhi,"The Kind of benefits & features offered by Bajaj Allianz General Insurance, Makes it a good choice while opting for new car insurance policy."
Web,Not Applicable,Bajaj Allianz Car Insurance ,7-Feb-16,Gurgaon,"I have bajaj allianz car insurace and it has good policy coverage but rather than this all is not up to the mark. Service is badly slow and claims take months to clear. Improve your services please.
"
Web,Not Applicable,Bajaj Allianz Car Insurance ,7-Feb-16,Bengaluru,"My car insurance is from allianz general. The service is slow and claims are Rs.20000 that's why additional amount is payed, so what's the benefit of policy. I want to close this policy. Please return my money too."
Web,Not Applicable,Bajaj Allianz Car Insurance ,7-Feb-16,Kolkata,"I have car insurance but the policy is not good. The response is always late or sometime no reply. No coverage and no claims. No any other benefits like toe car and low premium. Bad experience.
"
Web,Not Applicable,Bajaj Allianz Car Insurance ,7-Feb-16,Bengaluru,"I have bajaj allianz car insurance policy plan . Premium is low and return is much. The toe facility is for free of cost. Rs.2.7 lakh is for claim and policy coverage is 80% including interior parts. Good work.
"
